date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:24	2033/2033	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2008:52:23%20GMT	http://127.0.0.1:8052/robots.txt		(from )
10:52:24	2033/2033	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2008:52:24%20GMT	http://127.0.0.1:8052/	C:/My%20Web%20Sites/parents/127.0.0.1_8052/index.html	(from )
10:52:24	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Thu,%2009%20Jun%202022%2008:52:24%20GMT	http://127.0.0.1:8052/_favicon.ico?v=2.3.1	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_favicon7317.ico	(from http://127.0.0.1:8052/)
10:52:24	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/parents/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from http://127.0.0.1:8052/)
10:52:26	1763/1763	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:25%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/deps/prop-types@15.v2_3_1m1649064574.7.2.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/deps/prop-types@15.v2_3_1m1649064574.7.2.min.js	(from http://127.0.0.1:8052/)
10:52:27	12463/12463	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:25%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/deps/react@16.v2_3_1m1649064574.14.0.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/deps/react@16.v2_3_1m1649064574.14.0.min.js	(from http://127.0.0.1:8052/)
10:52:39	99276/99276	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:25%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/deps/polyfill@7.v2_3_1m1649064574.12.1.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/deps/polyfill@7.v2_3_1m1649064574.12.1.min.js	(from http://127.0.0.1:8052/)
10:52:44	118656/118656	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:25%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/deps/react-dom@16.v2_3_1m1649064574.14.0.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/deps/react-dom@16.v2_3_1m1649064574.14.0.min.js	(from http://127.0.0.1:8052/)
10:53:07	170912/170912	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:39%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/dash-renderer/build/dash_renderer.v2_3_1m1649064574.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/dash-renderer/build/dash_renderer.v2_3_1m1649064574.min.js	(from http://127.0.0.1:8052/)
10:53:09	14650/14650	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:53:07%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/dcc/dash_core_components-shared.v2_3_0m1649064574.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/dcc/dash_core_components-shared.v2_3_0m1649064574.js	(from http://127.0.0.1:8052/)
10:53:12	278536/278536	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:27%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash_bootstrap_components/_components/dash_bootstrap_components.v0_13_1m1649064596.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash_bootstrap_components/_components/dash_bootstrap_components.v0_13_1m1649064596.min.js	(from http://127.0.0.1:8052/)
10:53:17	33689/33689	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:53:12%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/dash_table/bundle.v5_1_1m1649064574.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/dash_table/bundle.v5_1_1m1649064574.js	(from http://127.0.0.1:8052/)
10:53:30	154493/154493	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:53:10%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/html/dash_html_components.v2_0_2m1649064575.min.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/html/dash_html_components.v2_0_2m1649064575.min.js	(from http://127.0.0.1:8052/)
10:54:03	715673/715673	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:44%20GMT	http://127.0.0.1:8052/_dash-component-suites/dash/dcc/dash_core_components.v2_3_0m1649064574.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/dash/dcc/dash_core_components.v2_3_0m1649064574.js	(from http://127.0.0.1:8052/)
10:54:51	2017486/2017486	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jun%202022%2008:52:26%20GMT	http://127.0.0.1:8052/_dash-component-suites/visdcc/bundle.v0_0_50m1649064577.js	C:/My%20Web%20Sites/parents/127.0.0.1_8052/_dash-component-suites/visdcc/bundle.v0_0_50m1649064577.js	(from http://127.0.0.1:8052/)
